LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,601,Appling County,103,Appling County High School,All Students,Combined,1267239,84678,85,85,1451,1367,1367
2010-11,601,Appling County,103,Appling County High School,All Students,Mathematics,1267239,84799,86,86,490,457,457
2010-11,601,Appling County,103,Appling County High School,All Students,Reading,1267239,84686,85,85,486,464,464
2010-11,601,Appling County,103,Appling County High School,All Students,Writing,1267239,84548,85,85,474,446,446
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Combined,1267239,84678,35,35,1451,1321,1321
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Mathematics,1267239,84799,34,34,490,441,441
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Reading,1267239,84686,35,35,486,440,440
2010-11,602,Atkinson County,103,Atkinson County High School,All Students,Writing,1267239,84548,35,35,474,440,440
2010-11,603,Bacon County,302,Bacon County High School,All Students,Combined,1267239,84678,57,57,1451,1369,1369
2010-11,603,Bacon County,302,Bacon County High School,All Students,Mathematics,1267239,84799,59,59,490,462,462
2010-11,603,Bacon County,302,Bacon County High School,All Students,Reading,1267239,84686,56,56,486,460,460
2010-11,603,Bacon County,302,Bacon County High School,All Students,Writing,1267239,84548,56,56,474,447,447
2010-11,604,Baker County,105,Baker County K12 School,All Students,Combined,1267239,84678,11,11,1451,1059,1059
2010-11,604,Baker County,105,Baker County K12 School,All Students,Mathematics,1267239,84799,11,11,490,382,382
2010-11,604,Baker County,105,Baker County K12 School,All Students,Reading,1267239,84686,11,11,486,331,331
2010-11,604,Baker County,105,Baker County K12 School,All Students,Writing,1267239,84548,11,11,474,346,346
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Combined,1267239,84678,198,198,1451,1298,1298
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Mathematics,1267239,84799,199,199,490,439,439
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Reading,1267239,84686,198,198,486,435,435
2010-11,605,Baldwin County,189,Baldwin High School,All Students,Writing,1267239,84548,196,196,474,425,425
2010-11,606,Banks County,199,Banks County High School,All Students,Combined,1267239,84678,91,91,1451,1423,1423
2010-11,606,Banks County,199,Banks County High School,All Students,Mathematics,1267239,84799,92,92,490,487,487
2010-11,606,Banks County,199,Banks County High School,All Students,Reading,1267239,84686,92,92,486,476,476
2010-11,606,Banks County,199,Banks County High School,All Students,Writing,1267239,84548,89,89,474,460,460
2010-11,607,Barrow County,101,Apalachee High School,All Students,Combined,1267239,84678,410,199,1451,1392,1404
2010-11,607,Barrow County,101,Apalachee High School,All Students,Mathematics,1267239,84799,411,199,490,464,467
2010-11,607,Barrow County,101,Apalachee High School,All Students,Reading,1267239,84686,409,198,486,474,476
2010-11,607,Barrow County,101,Apalachee High School,All Students,Writing,1267239,84548,411,199,474,455,461
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined,1267239,84678,410,212,1451,1392,1381
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Mathematics,1267239,84799,411,212,490,464,461
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading,1267239,84686,409,211,486,474,471
2010-11,607,Barrow County,3052,Winder-Barrow High School,All Students,Writing,1267239,84548,411,212,474,455,449
2010-11,608,Bartow County,105,Adairsville High School,All Students,Combined,1267239,84678,406,127,1451,1440,1391
2010-11,608,Bartow County,105,Adairsville High School,All Students,Mathematics,1267239,84799,409,126,490,488,476
2010-11,608,Bartow County,105,Adairsville High School,All Students,Reading,1267239,84686,403,125,486,486,466
2010-11,608,Bartow County,105,Adairsville High School,All Students,Writing,1267239,84548,407,129,474,466,449
2010-11,608,Bartow County,198,Woodland High School,All Students,Combined,1267239,84678,406,173,1451,1440,1479
2010-11,608,Bartow County,198,Woodland High School,All Students,Mathematics,1267239,84799,409,175,490,488,489
2010-11,608,Bartow County,198,Woodland High School,All Students,Reading,1267239,84686,403,172,486,486,502
2010-11,608,Bartow County,198,Woodland High School,All Students,Writing,1267239,84548,407,173,474,466,488
2010-11,608,Bartow County,577,Cass High School,All Students,Combined,1267239,84678,406,106,1451,1440,1437
2010-11,608,Bartow County,577,Cass High School,All Students,Mathematics,1267239,84799,409,108,490,488,501
2010-11,608,Bartow County,577,Cass High School,All Students,Reading,1267239,84686,403,106,486,486,483
2010-11,608,Bartow County,577,Cass High School,All Students,Writing,1267239,84548,407,105,474,466,453
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined,1267239,84678,97,97,1451,1268,1268
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Mathematics,1267239,84799,97,97,490,430,430
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading,1267239,84686,98,98,486,420,420
2010-11,609,Ben Hill County,291,Fitzgerald High School,All Students,Writing,1267239,84548,97,97,474,418,418
2010-11,610,Berrien County,101,Berrien High School,All Students,Combined,1267239,84678,106,106,1451,1378,1378
2010-11,610,Berrien County,101,Berrien High School,All Students,Mathematics,1267239,84799,105,105,490,459,459
