,Year,County ID_x,County Name,Total Revenues,Per FTE Total,Total Expenditure,Per FTE Total Expenditure,County ID,Category of SAT Scores,Nat Num Stdnt Tested,St Num Stdnt Tested,Dist Num Stdnt Tested,St Avg SAT Score,Dist Avg SAT Score,Per FTE/Student,FIPS,STNAME
0,2011, 601,Appling County,32474144.93,9656.3,28848323.76,8578.15,601,Combined,1267239,84678,85,1451,1367.0,100.91941176470588,13001,Georgia
1,2012, 601,Appling County,29832517.5,8870.81,28567145.14,8494.54,601,Combined,1284459,86835,123,1453,1342.0,69.06130081300813,13001,Georgia
2,2013, 601,Appling County,28836125.91,8528.87,28670923.87,8480.01,601,Combined,1295267,86575,144,1443,1367.0,58.888958333333335,13001,Georgia
3,2014, 601,Appling County,30589954.52,8882.1,30328616.21,8806.22,601,Combined,1306039,83291,110,1459,1388.0,80.05654545454544,13001,Georgia
4,2015, 601,Appling County,31536480.43,8979.64,32091416.0,9137.65,601,Combined,1332096,85316,151,1455,1390.0,60.51423841059602,13001,Georgia
5,2016, 601,Appling County,33714609.16,9783.69,32856461.21,9534.67,601,Combined,1305158,50828,77,1449,1374.0,123.82688311688312,13001,Georgia
7,2011, 602,Atkinson County,14620599.14,8834.2,13981986.72,8448.33,602,Combined,1267239,84678,35,1451,1321.0,241.38085714285714,13003,Georgia
8,2012, 602,Atkinson County,14448058.66,8788.36,13967860.69,8496.27,602,Combined,1284459,86835,34,1453,1354.0,249.89029411764707,13003,Georgia
9,2013, 602,Atkinson County,14352469.22,8527.91,13901406.95,8259.9,602,Combined,1295267,86575,56,1443,1312.0,147.49821428571428,13003,Georgia
10,2014, 602,Atkinson County,14877004.4,8881.79,14439547.43,8620.63,602,Combined,1306039,83291,37,1459,1312.0,232.98999999999998,13003,Georgia
11,2015, 602,Atkinson County,15509195.92,9532.39,14738610.89,9058.77,602,Combined,1332096,85316,50,1455,1313.0,181.1754,13003,Georgia
12,2016, 602,Atkinson County,15695619.74,9472.31,14955186.1,9025.46,602,Combined,1305158,50828,41,1449,1337.0,220.1331707317073,13003,Georgia
14,2011, 603,Bacon County,16256643.4,8511.33,15264909.48,7992.1,603,Combined,1267239,84678,57,1451,1369.0,140.2122807017544,13005,Georgia
15,2012, 603,Bacon County,15548462.67,8098.16,15492623.75,8069.07,603,Combined,1284459,86835,57,1453,1394.0,141.56263157894736,13005,Georgia
16,2013, 603,Bacon County,15826045.97,8095.16,15907855.25,8137.01,603,Combined,1295267,86575,50,1443,1338.0,162.74020000000002,13005,Georgia
17,2014, 603,Bacon County,16543576.69,8181.79,16522147.42,8171.19,603,Combined,1306039,83291,60,1459,1293.0,136.1865,13005,Georgia
